CI Identifier	Growth-rate	Radius	Appearance_time	Growth-delay	Imaging_method	Category	DAP	GEN	RIF	Other_ABX
CI1280	52.93079933	890.2439689	8.926334127	-0.787134547	TL	Prothesis	D-	G-	R-	ABX-
CI1280	51.07705548	849.778334	9.902812966	0.189344292	TL	Prothesis	D-	G-	R-	ABX-
CI1280	47.97582362	708.1486116	13.16973842	3.456269748	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.08923581	910.4767864	8.697100171	-1.016368503	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.90165241	890.2439689	9.004952861	-0.708515813	TL	Prothesis	D-	G-	R-	ABX-
CI1280	47.99331177	687.9157942	13.19062884	3.477160162	TL	Prothesis	D-	G-	R-	ABX-
CI1280	55.79885586	910.4767864	10.03109213	0.317623457	TL	Prothesis	D-	G-	R-	ABX-
CI1280	50.35421196	870.0111514	9.627318887	-0.086149787	TL	Prothesis	D-	G-	R-	ABX-
CI1280	53.63032531	910.4767864	9.28504861	-0.428420064	TL	Prothesis	D-	G-	R-	ABX-
CI1280	48.68117899	829.5455165	9.954550019	0.241081345	TL	Prothesis	D-	G-	R-	ABX-
CI1280	53.92762386	890.2439689	10.3155818	0.602113124	TL	Prothesis	D-	G-	R-	ABX-
CI1280	50.0977191	870.0111514	9.207406005	-0.506062669	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.80624994	849.778334	10.41346136	0.699992688	TL	Prothesis	D-	G-	R-	ABX-
CI1280	49.21165286	809.312699	10.77662646	1.063157782	TL	Prothesis	D-	G-	R-	ABX-
CI1280	52.13800322	870.0111514	10.13028629	0.416817612	TL	Prothesis	D-	G-	R-	ABX-
CI1280	45.56828837	789.0798815	10.49856474	0.785096062	TL	Prothesis	D-	G-	R-	ABX-
CI1280	51.58421181	849.778334	9.40796857	-0.305500104	TL	Prothesis	D-	G-	R-	ABX-
CI1280	41.55184335	708.1486116	11.27042843	1.55695976	TL	Prothesis	D-	G-	R-	ABX-
CI1280	42.49620343	647.4501592	12.7673453	3.053876622	TL	Prothesis	D-	G-	R-	ABX-
CI1280	44.14591887	789.0798815	10.04658399	0.333115314	TL	Prothesis	D-	G-	R-	ABX-
CI1280	48.19734018	849.778334	10.07094991	0.357481238	TL	Prothesis	D-	G-	R-	ABX-
CI1280	53.95677077	930.7096039	9.325386835	-0.388081839	TL	Prothesis	D-	G-	R-	ABX-
CI1280	51.43847723	890.2439689	10.00386603	0.290397359	TL	Prothesis	D-	G-	R-	ABX-
CI1280	51.22279006	890.2439689	9.223752575	-0.489716099	TL	Prothesis	D-	G-	R-	ABX-
CI1280	54.39980389	991.4080563	8.860063639	-0.853405035	TL	Prothesis	D-	G-	R-	ABX-
CI1280	55.22757631	930.7096039	10.03141375	0.317945077	TL	Prothesis	D-	G-	R-	ABX-
CI1280	48.29061031	789.0798815	11.39559559	1.682126917	TL	Prothesis	D-	G-	R-	ABX-
CI1280	47.32876209	728.3814291	11.62250448	1.909035806	TL	Prothesis	D-	G-	R-	ABX-
CI1280	40.15862077	667.6829767	11.07075732	1.357288651	TL	Prothesis	D-	G-	R-	ABX-
CI1280	41.90160634	667.6829767	11.94740501	2.233936336	TL	Prothesis	D-	G-	R-	ABX-
CI1280	46.85658205	768.8470641	10.71045209	0.996983413	TL	Prothesis	D-	G-	R-	ABX-
CI1280	41.0854927	667.6829767	11.33093746	1.617468785	TL	Prothesis	D-	G-	R-	ABX-
